Raw Median,Discount,Scenario,2024 to 2034,2024 to 2044,2034 to 2044,All
False,0%,BAU,2256883.0421352745,4749230.501279917,2492347.4591446426,18794834.271585077
False,0%,KCl subsitute (10%) all foods,197.39763841659885,-409.590095201233,-291.987733617832,9643.67513499052
False,0%,KCl subsitute (30%) envelope,-1579.1162806165596,-3374.1848828741918,-1795.0686022576317,26158.82135751595
False,0%,KCl subsitute (4.5%) discretionary,148.5263108602631,-167.10163749054473,-0.6279483508081436,4897.744545083705
False,0%,No change,0.0,0.0,0.0,0.0
False,3%,BAU,1691172.2305216691,3070159.80722384,1378987.5767021703,7043213.103108384
False,3%,KCl subsitute (10%) all foods,-5.50440549084118,-339.52094317655764,-258.8426143458581,658.8979547765007
False,3%,KCl subsitute (30%) envelope,-1152.6006372482288,-2160.879969718621,-1008.279332470392,1175.3687931774662
False,3%,KCl subsitute (4.5%) discretionary,-41.45592147515536,-217.8999087376035,-101.27006392258984,337.7224814914864
False,3%,No change,0.0,0.0,0.0,0.0
