Raw Median,Discount,Scenario,2024 to 2034,2024 to 2044,2034 to 2044,All
False,0%,BAU,-3608583.844417324,-6879816.377758304,-3271232.5333409794,-8298002.970230586
False,0%,KCl subsitute (10%) all foods,741.6651392666004,-419.15723297052136,-244.15703963932225,5865.253952466354
False,0%,KCl subsitute (30%) envelope,-693.6761902877881,-4995.303941892494,-2326.575976514704,13236.330508678322
False,0%,KCl subsitute (4.5%) discretionary,339.3389287087785,-347.7162303395755,-86.92136233644891,2872.711132964296
False,0%,No change,0.0,0.0,0.0,0.0
False,3%,BAU,-2719076.2508451883,-4536208.641089521,-1817132.3902443328,-7396162.976951835
False,3%,KCl subsitute (10%) all foods,85.01466947984099,-547.2367349657374,-427.4874396767371,-593.3290557472683
False,3%,KCl subsitute (30%) envelope,-1422.0744157104525,-3806.6933361498513,-1875.4720979593112,-3648.102539406641
False,3%,KCl subsitute (4.5%) discretionary,-37.80274299329098,-417.3479612329655,-235.5872950756091,-378.51074942494665
False,3%,No change,0.0,0.0,0.0,0.0
