Raw Median,Discount,Scenario,2024 to 2034,2024 to 2044,2034 to 2044,All
False,0%,BAU,204219546.086405,387421031.0473055,183201484.9609005,1073089450.3622156
False,0%,KCl subsitute (10%) all foods,1618.8152252604918,27128.647562713348,25509.83233745285,744747.9780250344
False,0%,KCl subsitute (30%) envelope,35244.41847567308,170185.73277871634,134941.31430304327,2251764.283178125
False,0%,KCl subsitute (4.5%) discretionary,2876.4348589156843,22079.804814094223,19203.369955178543,376677.1275795333
False,0%,No change,0.0,0.0,0.0,0.0
False,3%,BAU,153865169.72375026,255718794.10598484,101853624.38223454,509286967.6276997
False,3%,KCl subsitute (10%) all foods,1097.1748833522768,14681.287438594863,13584.112555242587,144531.8695851998
False,3%,KCl subsitute (30%) envelope,24878.135137795696,98183.95875000385,73305.82361220813,491256.996587732
False,3%,KCl subsitute (4.5%) discretionary,1971.9603192607683,12350.060388946951,10378.100069686185,78421.50391414379
False,3%,No change,0.0,0.0,0.0,0.0
