Raw Median,Discount,Scenario,2024 to 2034,2024 to 2044,2034 to 2044,All
False,0%,BAU,242050871.5503032,465156161.9967421,223105290.44643897,1345559336.868365
False,0%,KCl subsitute (10%) all foods,832.9397569516824,20867.695142420256,20034.75538546857,860724.9025991602
False,0%,KCl subsitute (30%) envelope,21213.27472815089,135674.6699547017,114461.3952265508,2574361.4913228275
False,0%,KCl subsitute (4.5%) discretionary,1590.3364348036118,17384.2362378008,15793.89980299719,432799.7728434283
False,0%,No change,0.0,0.0,0.0,0.0
False,3%,BAU,182238598.3764853,306199724.92298526,123961126.54649995,618843270.832397
False,3%,KCl subsitute (10%) all foods,561.5084921221961,11153.541576177751,10592.033084055556,152885.566971087
False,3%,KCl subsitute (30%) envelope,14802.62364123623,76635.55911629522,61832.93547505899,508546.7624636069
False,3%,KCl subsitute (4.5%) discretionary,1081.7410311776289,9562.350950875638,8480.609919698009,82014.60605957823
False,3%,No change,0.0,0.0,0.0,0.0
