Raw Median,Discount,Scenario,2024 to 2034,2024 to 2044,2034 to 2044,All
False,0%,BAU,2256883.0421352745,4749230.501279917,2492347.4591446426,18794834.271585077
False,0%,KCl subsitute (10%) all foods,-117.60236158340086,-724.5900952012327,-606.9877336178317,9328.67513499052
False,0%,KCl subsitute (30%) envelope,-1579.1162806165596,-3374.1848828741918,-1795.0686022576317,26158.82135751595
False,0%,KCl subsitute (4.5%) discretionary,-166.4736891397366,-482.1016374905444,-315.62794835080786,4582.744545083705
False,0%,No change,0.0,0.0,0.0,0.0
False,3%,BAU,1691172.2305216691,3070159.80722384,1378987.5767021703,7043213.103108384
False,3%,KCl subsitute (10%) all foods,-80.6783288306995,-414.694866516416,-334.01653768571646,583.7240314366425
False,3%,KCl subsitute (30%) envelope,-1152.6006372482288,-2160.879969718621,-1008.279332470392,1175.3687931774662
False,3%,KCl subsitute (4.5%) discretionary,-116.62984481501368,-293.0738320774618,-176.44398726244816,262.54855815162813
False,3%,No change,0.0,0.0,0.0,0.0
