Raw Median,Discount,Scenario,2024 to 2034,2024 to 2044,2034 to 2044,All
False,0%,BAU,5865466.886552598,11629046.87903822,5763579.992485622,27092837.24181566
False,0%,KCl subsitute (10%) all foods,57.39783174779821,611.2324703670882,553.83463861929,4380.086515121965
False,0%,KCl subsitute (30%) envelope,1089.611684761229,3596.170834108302,2506.559149347073,14897.542623927628
False,0%,KCl subsitute (4.5%) discretionary,94.32117886338996,465.7483895609361,371.4272106975461,2310.167208831314
False,0%,No change,0.0,0.0,0.0,0.0
False,3%,BAU,4410248.481366858,7606368.448313361,3196119.966946504,14439376.08006022
False,3%,KCl subsitute (10%) all foods,39.07096645830072,337.3058332181626,298.2348667598618,1381.817051952752
False,3%,KCl subsitute (30%) envelope,778.6206009423111,2154.960188911318,1376.3395879690063,5332.618155064195
False,3%,KCl subsitute (4.5%) discretionary,65.13082134234268,268.232052319569,203.10123097722632,785.0172307406401
False,3%,No change,0.0,0.0,0.0,0.0
