age,sex,DR,f,i,prev,r
0,female,0.08069506673004713,3.4557625000000006e-07,0.00014330528570000002,0.0004302115798,0
0,male,0.06251131671495716,2.6352925e-07,0.00013789904080000002,0.00041464407010000006,0
1,female,0.08069506673004713,3.4557625000000006e-07,0.00014330528570000002,0.0004302115798,0
1,male,0.06251131671495716,2.6352925e-07,0.00013789904080000002,0.00041464407010000006,0
2,female,0.08069506673004713,3.4557625000000006e-07,0.00014330528570000002,0.0004302115798,0
2,male,0.06251131671495716,2.6352925e-07,0.00013789904080000002,0.00041464407010000006,0
3,female,0.08069506673004713,3.4557625000000006e-07,0.00014330528570000002,0.0004302115798,0
3,male,0.06251131671495716,2.6352925e-07,0.00013789904080000002,0.00041464407010000006,0
4,female,0.08069506673004713,3.4557625000000006e-07,0.00014330528570000002,0.0004302115798,0
4,male,0.06251131671495716,2.6352925e-07,0.00013789904080000002,0.00041464407010000006,0
5,female,0.07971998485699998,1.5591993000000002e-07,0.00014461671890000002,0.0010781139790000001,0
5,male,0.06175266373161246,1.4179152e-07,0.0001404161031,0.0010410301800000002,0
6,female,0.07971998485699998,1.5591993000000002e-07,0.00014461671890000002,0.0010781139790000001,0
6,male,0.06175266373161246,1.4179152e-07,0.0001404161031,0.0010410301800000002,0
7,female,0.07971998485699998,1.5591993000000002e-07,0.00014461671890000002,0.0010781139790000001,0
7,male,0.06175266373161246,1.4179152e-07,0.0001404161031,0.0010410301800000002,0
8,female,0.07971998485699998,1.5591993000000002e-07,0.00014461671890000002,0.0010781139790000001,0
8,male,0.06175266373161246,1.4179152e-07,0.0001404161031,0.0010410301800000002,0
9,female,0.07971998485699998,1.5591993000000002e-07,0.00014461671890000002,0.0010781139790000001,0
9,male,0.06175266373161246,1.4179152e-07,0.0001404161031,0.0010410301800000002,0
10,female,0.07656302933647889,2.1456054e-07,0.0001460707346,0.0018047800890000003,0
10,male,0.05955125766810149,1.821008e-07,0.0001432069399,0.0017500241100000004,0
11,female,0.07656302933647889,2.1456054e-07,0.0001460707346,0.0018047800890000003,0
11,male,0.05955125766810149,1.821008e-07,0.0001432069399,0.0017500241100000004,0
12,female,0.07656302933647889,2.1456054e-07,0.0001460707346,0.0018047800890000003,0
12,male,0.05955125766810149,1.821008e-07,0.0001432069399,0.0017500241100000004,0
13,female,0.07656302933647889,2.1456054e-07,0.0001460707346,0.0018047800890000003,0
13,male,0.05955125766810149,1.821008e-07,0.0001432069399,0.0017500241100000004,0
14,female,0.07656302933647889,2.1456054e-07,0.0001460707346,0.0018047800890000003,0
14,male,0.05955125766810149,1.821008e-07,0.0001432069399,0.0017500241100000004,0
15,female,0.07573410184291507,3.8362185000000003e-07,0.0002098942554,0.0026447122000000005,0
15,male,0.06043060714149533,3.7325451000000004e-07,0.0002093295289,0.0025805912,0
16,female,0.07573410184291507,3.8362185000000003e-07,0.0002098942554,0.0026447122000000005,0
16,male,0.06043060714149533,3.7325451000000004e-07,0.0002093295289,0.0025805912,0
17,female,0.07573410184291507,3.8362185000000003e-07,0.0002098942554,0.0026447122000000005,0
17,male,0.06043060714149533,3.7325451000000004e-07,0.0002093295289,0.0025805912,0
18,female,0.07573410184291507,3.8362185000000003e-07,0.0002098942554,0.0026447122000000005,0
18,male,0.06043060714149533,3.7325451000000004e-07,0.0002093295289,0.0025805912,0
19,female,0.07573410184291507,3.8362185000000003e-07,0.0002098942554,0.0026447122000000005,0
19,male,0.06043060714149533,3.7325451000000004e-07,0.0002093295289,0.0025805912,0
20,female,0.07449570338762658,5.647594300000001e-07,0.0002954512342,0.003940226399,0
20,male,0.05865166550882044,5.759915e-07,0.000297216854,0.003879799897,0
21,female,0.07449570338762658,5.647594300000001e-07,0.0002954512342,0.003940226399,0
21,male,0.05865166550882044,5.759915e-07,0.000297216854,0.003879799897,0
22,female,0.07449570338762658,5.647594300000001e-07,0.0002954512342,0.003940226399,0
22,male,0.05865166550882044,5.759915e-07,0.000297216854,0.003879799897,0
23,female,0.07449570338762658,5.647594300000001e-07,0.0002954512342,0.003940226399,0
23,male,0.05865166550882044,5.759915e-07,0.000297216854,0.003879799897,0
24,female,0.07449570338762658,5.647594300000001e-07,0.0002954512342,0.003940226399,0
24,male,0.05865166550882044,5.759915e-07,0.000297216854,0.003879799897,0
25,female,0.07406486034846455,8.018038500000001e-07,0.0003404292066,0.005529507696000001,0
25,male,0.05937242739890813,6.792748900000002e-07,0.00034358911190000006,0.0054812812,0
26,female,0.07406486034846455,8.018038500000001e-07,0.0003404292066,0.005529507696000001,0
26,male,0.05937242739890813,6.792748900000002e-07,0.00034358911190000006,0.0054812812,0
27,female,0.07406486034846455,8.018038500000001e-07,0.0003404292066,0.005529507696000001,0
27,male,0.05937242739890813,6.792748900000002e-07,0.00034358911190000006,0.0054812812,0
28,female,0.07406486034846455,8.018038500000001e-07,0.0003404292066,0.005529507696000001,0
28,male,0.05937242739890813,6.792748900000002e-07,0.00034358911190000006,0.0054812812,0
29,female,0.07406486034846455,8.018038500000001e-07,0.0003404292066,0.005529507696000001,0
29,male,0.05937242739890813,6.792748900000002e-07,0.00034358911190000006,0.0054812812,0
30,female,0.07317714325617761,1.1298187300000001e-06,0.0003676770926,0.007312102498,0
30,male,0.05861090496069463,1.2076106300000001e-06,0.000372586908,0.007283377907000001,0
31,female,0.07317714325617761,1.1298187300000001e-06,0.0003676770926,0.007312102498,0
31,male,0.05861090496069463,1.2076106300000001e-06,0.000372586908,0.007283377907000001,0
32,female,0.07317714325617761,1.1298187300000001e-06,0.0003676770926,0.007312102498,0
