age,sex,population
2,female,761351
2,male,805824
7,female,788406
7,male,830370
12,female,756623
12,male,799055
17,female,730194
17,male,772176
22,female,855976
22,male,903135
27,female,949250
27,male,959311
32,female,958311
32,male,933330
37,female,896114
37,male,884809
42,female,802459
42,male,793232
47,female,853204
47,male,824890
52,female,784453
52,male,750310
57,female,787915
57,male,757076
62,female,712292
62,male,675896
67,female,629516
67,male,595333
72,female,539049
72,male,518915
77,female,383102
77,male,351175
82,female,277194
82,male,228349
87,female,183874
87,male,129145
92,female,98860
92,male,54604
97,female,31263
97,male,12940
102,female,3126
102,male,1294
112,female,312
112,male,129
