draw_,sex,age_start,age_end,deathPerInfect,icuPerInfect,hospitalPerInfect
0,female,0,5,.00055925047,.0012978431,.066519015
0,female,5,10,.00055925047,.0012978431,.066519015
0,female,10,15,.00057347177,.0027562536,.027848218
0,female,15,20,.00057347177,.0027562536,.027848218
0,female,20,25,.00070423895,.0070245625,.071844652
0,female,25,30,.00070423895,.0070245625,.071844652
0,female,30,35,.0012155921,.0069156205,.10144939
0,female,35,40,.0012155921,.0069156205,.10144939
0,female,40,45,.0027180898,.025547342,.13126126
0,female,45,50,.0027180898,.025547342,.13126126
0,female,50,55,.0069037019,.044221174,.18976732
0,female,55,60,.0069037019,.044221174,.18976732
0,female,60,65,.017889993,.088339299,.34809059
0,female,65,70,.017889993,.088339299,.34809059
0,female,70,75,.044219449,.13774075,.60905391
0,female,75,80,.044219449,.13774075,.60905391
0,female,80,85,.10146287,.027475977,.71186459
0,female,85,90,.10146287,.027475977,.71186459
0,female,90,95,.17709865,.0045748195,.6245479
0,female,95,100,.17709865,.0045748195,.6245479
0,female,100,105,.17709865,.0045748195,.6245479
0,female,105,110,.17709865,.0045748195,.6245479
0,male,0,5,.0011744264,.0021524092,.057142723
0,male,5,10,.0011744264,.0021524092,.057142723
0,male,10,15,.0012042904,.0045589996,.013574658
0,male,15,20,.0012042904,.0045589996,.013574658
0,male,20,25,.0014789016,.0088773696,.041088805
0,male,25,30,.0014789016,.0088773696,.041088805
0,male,30,35,.0025527431,.013670601,.063957453
0,male,35,40,.0025527431,.013670601,.063957453
0,male,40,45,.0057079899,.036893349,.16014591
0,male,45,50,.0057079899,.036893349,.16014591
0,male,50,55,.014497778,.088335261,.26871875
0,male,55,60,.014497778,.088335261,.26871875
0,male,60,65,.037568979,.11978236,.42553234
0,male,65,70,.037568979,.11978236,.42553234
0,male,70,75,.092860848,.12562776,.61595571
0,male,75,80,.092860848,.12562776,.61595571
0,male,80,85,.21307205,.069400646,.77600008
0,male,85,90,.21307205,.069400646,.77600008
0,male,90,95,.37190714,.0071781254,.74166632
0,male,95,100,.37190714,.0071781254,.74166632
0,male,100,105,.37190714,.0071781254,.74166632
0,male,105,110,.37190714,.0071781254,.74166632
1,female,0,5,.00012568721,.00086221454,.064992853
1,female,5,10,.00012568721,.00086221454,.064992853
1,female,10,15,.00040339891,.0019195855,.012415089
1,female,15,20,.00040339891,.0019195855,.012415089
1,female,20,25,.00022355923,.0043405783,.060862396
1,female,25,30,.00022355923,.0043405783,.060862396
1,female,30,35,.001506752,.005362398,.07144352
1,female,35,40,.001506752,.005362398,.07144352
1,female,40,45,.0013891967,.012213574,.087423041
1,female,45,50,.0013891967,.012213574,.087423041
1,female,50,55,.011996395,.029019387,.15176213
1,female,55,60,.011996395,.029019387,.15176213
1,female,60,65,.020822184,.052714773,.29810035
1,female,65,70,.020822184,.052714773,.29810035
1,female,70,75,.033766709,.078465678,.55907977
1,female,75,80,.033766709,.078465678,.55907977
1,female,80,85,.081398375,.019333113,.69640899
1,female,85,90,.081398375,.019333113,.69640899
1,female,90,95,.20207122,.00085547869,.5932669
1,female,95,100,.20207122,.00085547869,.5932669
1,female,100,105,.20207122,.00085547869,.5932669
1,female,105,110,.20207122,.00085547869,.5932669
1,male,0,5,.00063214806,.0015332061,.048616096
1,male,5,10,.00063214806,.0015332061,.048616096
1,male,10,15,.0012992811,.0027435289,.0048713316
1,male,15,20,.0012992811,.0027435289,.0048713316
1,male,20,25,.0007356336,.0049492,.029157674
1,male,25,30,.0007356336,.0049492,.029157674
1,male,30,35,.0015023607,.0089763086,.060989216
1,male,35,40,.0015023607,.0089763086,.060989216
1,male,40,45,.002774877,.030666381,.13373967
1,male,45,50,.002774877,.030666381,.13373967
1,male,50,55,.0055144192,.058642678,.22486094
1,male,55,60,.0055144192,.058642678,.22486094
1,male,60,65,.03260434,.055466868,.38574249
1,male,65,70,.03260434,.055466868,.38574249
1,male,70,75,.055310261,.091567978,.57049543
1,male,75,80,.055310261,.091567978,.57049543
1,male,80,85,.21013406,.040604591,.67675978
1,male,85,90,.21013406,.040604591,.67675978
1,male,90,95,.35779223,.00042901744,.7053389
1,male,95,100,.35779223,.00042901744,.7053389
1,male,100,105,.35779223,.00042901744,.7053389
1,male,105,110,.35779223,.00042901744,.7053389
2,female,0,5,.00074624142,.0011523871,.089894809
2,female,5,10,.00074624142,.0011523871,.089894809
2,female,10,15,.0012463818,.0019637004,.017096492
2,female,15,20,.0012463818,.0019637004,.017096492
2,female,20,25,.00086277019,.0071109105,.069572262
2,female,25,30,.00086277019,.0071109105,.069572262
2,female,30,35,.0020101718,.0053328704,.098670892
2,female,35,40,.0020101718,.0053328704,.098670892
2,female,40,45,.0036636326,.020990849,.12626134
2,female,45,50,.0036636326,.020990849,.12626134
2,female,50,55,.0052142749,.045169163,.23177673
2,female,55,60,.0052142749,.045169163,.23177673
2,female,60,65,.012408066,.080626942,.38024232
2,female,65,70,.012408066,.080626942,.38024232
2,female,70,75,.025465518,.11116705,.65314656
2,female,75,80,.025465518,.11116705,.65314656
2,female,80,85,.093418553,.02806472,.75151116
2,female,85,90,.093418553,.02806472,.75151116
2,female,90,95,.19476821,.0031649272,.67797595
2,female,95,100,.19476821,.0031649272,.67797595
2,female,100,105,.19476821,.0031649272,.67797595
2,female,105,110,.19476821,.0031649272,.67797595
2,male,0,5,.0013299253,.0017640112,.061362822
2,male,5,10,.0013299253,.0017640112,.061362822
2,male,10,15,.0012113769,.0057018534,.021877006
2,male,15,20,.0012113769,.0057018534,.021877006
2,male,20,25,.00074188062,.0066465284,.048449982
2,male,25,30,.00074188062,.0066465284,.048449982
2,male,30,35,.0039167767,.011367243,.080231458
2,male,35,40,.0039167767,.011367243,.080231458
2,male,40,45,.0048241545,.037622366,.16463943
2,male,45,50,.0048241545,.037622366,.16463943
2,male,50,55,.013546267,.091820739,.3164022
2,male,55,60,.013546267,.091820739,.3164022
2,male,60,65,.026212113,.10277909,.45355907
2,male,65,70,.026212113,.10277909,.45355907
2,male,70,75,.092199661,.14804436,.59851933
2,male,75,80,.092199661,.14804436,.59851933
2,male,80,85,.18564776,.062354438,.81380558
2,male,85,90,.18564776,.062354438,.81380558
2,male,90,95,.3769286,.01295761,.83018506
2,male,95,100,.3769286,.01295761,.83018506
2,male,100,105,.3769286,.01295761,.83018506
2,male,105,110,.3769286,.01295761,.83018506
3,female,0,5,.003501059,.0012302499,.049569149
3,female,5,10,.003501059,.0012302499,.049569149
3,female,10,15,.0019936508,.0024345685,.027226806
3,female,15,20,.0019936508,.0024345685,.027226806
3,female,20,25,.0071030888,.0036746575,.056523412
3,female,25,30,.0071030888,.0036746575,.056523412
3,female,30,35,.001954295,.0033205098,.076622076
3,female,35,40,.001954295,.0033205098,.076622076
3,female,40,45,.007773675,.02896983,.13289802
3,female,45,50,.007773675,.02896983,.13289802
3,female,50,55,.0085423049,.035905298,.14369236
3,female,55,60,.0085423049,.035905298,.14369236
3,female,60,65,.028843476,.095428504,.33966082
3,female,65,70,.028843476,.095428504,.33966082
3,female,70,75,.18730901,.12665111,.59170043
3,female,75,80,.18730901,.12665111,.59170043
3,female,80,85,.12305196,.015410871,.71067351
3,female,85,90,.12305196,.015410871,.71067351
3,female,90,95,.29629958,.0036804336,.5529775
3,female,95,100,.29629958,.0036804336,.5529775
3,female,100,105,.29629958,.0036804336,.5529775
3,female,105,110,.29629958,.0036804336,.5529775
3,male,0,5,.0066990103,.0017602359,.06057914
3,male,5,10,.0066990103,.0017602359,.06057914
3,male,10,15,.0039456035,.0043986803,.01013931
3,male,15,20,.0039456035,.0043986803,.01013931
3,male,20,25,.0051983516,.0092197657,.027620152
3,male,25,30,.0051983516,.0092197657,.027620152
3,male,30,35,.0048597562,.008417665,.050078008
3,male,35,40,.0048597562,.008417665,.050078008
3,male,40,45,.018301392,.028594308,.14957273
3,male,45,50,.018301392,.028594308,.14957273
3,male,50,55,.047781035,.086887449,.19720246
3,male,55,60,.047781035,.086887449,.19720246
3,male,60,65,.067563273,.098810583,.43096066
3,male,65,70,.067563273,.098810583,.43096066
3,male,70,75,.12808013,.093676604,.56996453
3,male,75,80,.12808013,.093676604,.56996453
3,male,80,85,.23291048,.03813713,.74191076
3,male,85,90,.23291048,.03813713,.74191076
3,male,90,95,.42768806,.013314106,.6085481
3,male,95,100,.42768806,.013314106,.6085481
3,male,100,105,.42768806,.013314106,.6085481
3,male,105,110,.42768806,.013314106,.6085481
4,female,0,5,.00072027737,.0013371991,.046944786
4,female,5,10,.00072027737,.0013371991,.046944786
4,female,10,15,.000076280558,.0020725124,.011894358
4,female,15,20,.000076280558,.0020725124,.011894358
4,female,20,25,.00032556476,.008871397,.050508864
4,female,25,30,.00032556476,.008871397,.050508864
4,female,30,35,.00051062508,.0071388436,.072970673
4,female,35,40,.00051062508,.0071388436,.072970673
4,female,40,45,.0028925224,.025400836,.11323064
4,female,45,50,.0028925224,.025400836,.11323064
4,female,50,55,.012258596,.050187945,.1528935
4,female,55,60,.012258596,.050187945,.1528935
4,female,60,65,.011738598,.1000015,.2529119
4,female,65,70,.011738598,.1000015,.2529119
4,female,70,75,.037068203,.17655022,.50935799
4,female,75,80,.037068203,.17655022,.50935799
4,female,80,85,.06135907,.036170691,.65741688
4,female,85,90,.06135907,.036170691,.65741688
4,female,90,95,.13262811,.0040545668,.56914252
4,female,95,100,.13262811,.0040545668,.56914252
4,female,100,105,.13262811,.0040545668,.56914252
4,female,105,110,.13262811,.0040545668,.56914252
4,male,0,5,.0016411355,.0027809911,.029344035
4,male,5,10,.0016411355,.0027809911,.029344035
