Raw Median,Discount,Scenario,2024 to 2034,2024 to 2044,2034 to 2044,All
False,0%,Aus then UK 50%,36.6 (-13.0 to 73.7),-174 (-370 to 16.8),-212 (-366 to -44.1),"4,880 (1,890 to 10,100)"
False,0%,Aus then UK 70%,36.1 (-33.5 to 88.7),-273 (-549 to -9.60),-310 (-530 to -80.8),"6,610 (2,510 to 13,800)"
False,0%,Aus then UK 90%,35.9 (-54.4 to 102),-371 (-727 to -28.9),-411 (-688 to -112),"8,360 (3,060 to 17,700)"
False,0%,Aus then UK mandatory,35.4 (-66.0 to 111),-421 (-819 to -39.3),-457 (-767 to -127),"9,290 (3,380 to 19,500)"
False,0%,Australia 50%,36.1 (-15.2 to 115),-38.7 (-149 to 86.8),-78.8 (-155 to 0.489),"2,300 (1,000 to 4,440)"
False,0%,Australia 70%,35.4 (-34.5 to 145),-83.5 (-238 to 84.5),-126 (-232 to -16.5),"3,040 (1,240 to 6,050)"
False,0%,Australia 90%,33.5 (-57.8 to 173),-131 (-321 to 85.5),-172 (-307 to -31.0),"3,790 (1,490 to 7,710)"
False,0%,Australia mandatory,33.9 (-66.8 to 193),-153 (-369 to 87.1),-196 (-349 to -39.7),"4,160 (1,610 to 8,510)"
False,0%,BAU,"2,260,000 (2,240,000 to 2,270,000)","4,750,000 (4,700,000 to 4,800,000)","2,490,000 (2,450,000 to 2,530,000)","18,800,000 (18,300,000 to 19,300,000)"
False,0%,KCl subsitute (10%) all foods,-74.8 (-133 to -26.3),-589 (-974 to -271),-515 (-847 to -227),"10,500 (3,760 to 20,500)"
False,0%,KCl subsitute (30%) envelope,"-1,350 (-2,040 to -800)","-2,910 (-4,710 to -1,330)","-1,580 (-2,810 to -385)","28,100 (9,340 to 55,100)"
False,0%,KCl subsitute (4.5%) discretionary,-121 (-195 to -58.2),-373 (-635 to -132),-254 (-451 to -59.3),"5,310 (2,020 to 10,400)"
False,0%,No change,0.00 (0.00 to 0.00),0.00 (0.00 to 0.00),0.00 (0.00 to 0.00),0.00 (0.00 to 0.00)
False,0%,UK 50%,-4.82 (-102 to 121),-198 (-445 to 49.0),-198 (-365 to -19.8),"4,920 (1,890 to 10,100)"
False,0%,UK 70%,-21.0 (-156 to 149),-307 (-645 to 37.8),-296 (-525 to -48.2),"6,690 (2,490 to 14,000)"
False,0%,UK 90%,-37.6 (-213 to 179),-415 (-854 to 36.2),-389 (-683 to -75.6),"8,460 (3,010 to 17,800)"
False,0%,UK mandatory,-45.1 (-242 to 192),-469 (-953 to 16.1),-436 (-759 to -88.4),"9,370 (3,270 to 19,600)"
False,0%,UK mass media campaign,8.43 (-11.7 to 26.9),2.12 (-28.1 to 24.4),-6.78 (-21.2 to 4.76),55.9 (24.5 to 105)
False,0%,UK salt reduction program,217 (89.9 to 451),121 (-67.2 to 386),-102 (-196 to -11.9),"2,830 (1,280 to 5,440)"
False,0%,Who mandatory,-93.0 (-423 to 388),"-891 (-1,680 to -155)","-822 (-1,360 to -288)","13,600 (4,440 to 28,000)"
False,3%,Aus then UK 50%,45.1 (6.28 to 74.4),-88.0 (-217 to 37.1),-134 (-230 to -31.3),"584 (-17.0 to 1,570)"
False,3%,Aus then UK 70%,50.4 (-4.35 to 91.7),-146 (-328 to 23.9),-197 (-333 to -56.1),"768 (-79.3 to 2,110)"
False,3%,Aus then UK 90%,55.8 (-14.2 to 108),-203 (-438 to 18.5),-260 (-432 to -79.8),"948 (-131 to 2,650)"
