Raw Median,Discount,Scenario,2024 to 2034,2024 to 2034,2024 to 2034,2024 to 2034,2024 to 2044,2024 to 2044,2024 to 2044,2024 to 2044,2034 to 2044,2034 to 2044,2034 to 2044,2034 to 2044,All,All,All,All
False,3%,Australia 90%,0 to 40,All,All,1.06 (0.370 to 2.11),0 to 40,All,All,3.00 (1.10 to 5.98),0 to 40,All,All,1.95 (0.726 to 3.87),0 to 40,All,All,5.14 (1.92 to 10.1)
False,3%,Australia mandatory,0 to 40,All,All,1.16 (0.415 to 2.34),0 to 40,All,All,3.31 (1.21 to 6.66),0 to 40,All,All,2.15 (0.785 to 4.32),0 to 40,All,All,5.64 (2.09 to 11.4)
False,3%,BAU,0 to 40,All,All,"1,800,000 (1,790,000 to 1,800,000)",0 to 40,All,All,"3,040,000 (3,040,000 to 3,040,000)",0 to 40,All,All,"1,250,000 (1,240,000 to 1,250,000)",0 to 40,All,All,"5,260,000 (5,260,000 to 5,260,000)"
False,3%,KCl subsitute (10%) all foods,0 to 40,All,All,0.842 (0.292 to 1.78),0 to 40,All,All,5.90 (2.11 to 12.4),0 to 40,All,All,5.05 (1.83 to 10.6),0 to 40,All,All,13.0 (4.67 to 27.0)
False,3%,KCl subsitute (30%) envelope,0 to 40,All,All,16.1 (6.04 to 33.5),0 to 40,All,All,35.2 (13.5 to 72.7),0 to 40,All,All,19.1 (7.27 to 39.0),0 to 40,All,All,55.7 (21.4 to 114)
False,3%,KCl subsitute (4.5%) discretionary,0 to 40,All,All,1.39 (0.467 to 2.89),0 to 40,All,All,4.48 (1.62 to 9.34),0 to 40,All,All,3.09 (1.14 to 6.44),0 to 40,All,All,7.86 (2.91 to 16.4)
False,3%,No change,0 to 40,All,All,0.00 (0.00 to 0.00),0 to 40,All,All,0.00 (0.00 to 0.00),0 to 40,All,All,0.00 (0.00 to 0.00),0 to 40,All,All,0.00 (0.00 to 0.00)
False,3%,UK 50%,0 to 40,All,All,1.10 (0.379 to 2.25),0 to 40,All,All,3.13 (1.12 to 6.35),0 to 40,All,All,2.03 (0.736 to 4.09),0 to 40,All,All,5.34 (1.94 to 10.8)
False,3%,UK 70%,0 to 40,All,All,1.55 (0.535 to 3.14),0 to 40,All,All,4.39 (1.56 to 8.84),0 to 40,All,All,2.85 (1.01 to 5.67),0 to 40,All,All,7.52 (2.67 to 14.9)
False,3%,UK 90%,0 to 40,All,All,1.99 (0.697 to 4.00),0 to 40,All,All,5.66 (2.02 to 11.4),0 to 40,All,All,3.68 (1.30 to 7.36),0 to 40,All,All,9.67 (3.45 to 19.3)
False,3%,UK mandatory,0 to 40,All,All,2.21 (0.752 to 4.54),0 to 40,All,All,6.29 (2.19 to 12.7),0 to 40,All,All,4.09 (1.43 to 8.28),0 to 40,All,All,10.8 (3.78 to 21.8)
False,3%,UK mass media campaign,0 to 40,All,All,0.178 (0.0549 to 0.443),0 to 40,All,All,0.326 (0.105 to 0.796),0 to 40,All,All,0.148 (0.0489 to 0.351),0 to 40,All,All,0.329 (0.107 to 0.796)
False,3%,UK salt reduction program,0 to 40,All,All,0.789 (0.281 to 1.61),0 to 40,All,All,2.21 (0.818 to 4.50),0 to 40,All,All,1.43 (0.525 to 2.91),0 to 40,All,All,3.88 (1.43 to 7.87)
False,3%,Who mandatory,0 to 40,All,All,4.37 (1.61 to 8.83),0 to 40,All,All,12.4 (4.70 to 24.4),0 to 40,All,All,8.00 (3.01 to 15.7),0 to 40,All,All,21.1 (7.98 to 41.3)
True,0%,Aus then UK 50%,0 to 40,All,All,1.0122652914445995,0 to 40,All,All,4.207704705465138,0 to 40,All,All,3.190612712301612,0 to 40,All,All,9.406034730895794
True,0%,Aus then UK 70%,0 to 40,All,All,1.416120292983711,0 to 40,All,All,5.869154128075659,0 to 40,All,All,4.453278602285684,0 to 40,All,All,13.162921153378749
True,0%,Aus then UK 90%,0 to 40,All,All,1.8194267516865128,0 to 40,All,All,7.56687923660332,0 to 40,All,All,5.7246466035994885,0 to 40,All,All,16.88152050369964
