,,,bau,bau,bau,mass_media_uk,mass_media_uk,mass_media_uk,none,none,none,package_uk,package_uk,package_uk,reform_aus,reform_aus,reform_aus,reform_aus_50,reform_aus_50,reform_aus_50,reform_aus_70,reform_aus_70,reform_aus_70,reform_aus_90,reform_aus_90,reform_aus_90,reform_ausuk,reform_ausuk,reform_ausuk,reform_ausuk_50,reform_ausuk_50,reform_ausuk_50,reform_ausuk_70,reform_ausuk_70,reform_ausuk_70,reform_ausuk_90,reform_ausuk_90,reform_ausuk_90,reform_kcl_10,reform_kcl_10,reform_kcl_10,reform_kcl_all,reform_kcl_all,reform_kcl_all,reform_kcl_nacl,reform_kcl_nacl,reform_kcl_nacl,reform_uk,reform_uk,reform_uk,reform_uk_50,reform_uk_50,reform_uk_50,reform_uk_70,reform_uk_70,reform_uk_70,reform_uk_90,reform_uk_90,reform_uk_90,reform_who,reform_who,reform_who,reform_who_50,reform_who_50,reform_who_50,reform_who_70,reform_who_70,reform_who_70,reform_who_90,reform_who_90,reform_who_90
,,,2.5%,50%,97.5%,2.5%,50%,97.5%,2.5%,50%,97.5%,2.5%,50%,97.5%,2.5%,50%,97.5%,2.5%,50%,97.5%,2.5%,50%,97.5%,2.5%,50%,97.5%,2.5%,50%,97.5%,2.5%,50%,97.5%,2.5%,50%,97.5%,2.5%,50%,97.5%,2.5%,50%,97.5%,2.5%,50%,97.5%,2.5%,50%,97.5%,2.5%,50%,97.5%,2.5%,50%,97.5%,2.5%,50%,97.5%,2.5%,50%,97.5%,2.5%,50%,97.5%,2.5%,50%,97.5%,2.5%,50%,97.5%,2.5%,50%,97.5%
Year,Sex,strata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024 to 2034,All,All,4404075.320075731,4410204.433110304,4415976.074190595,4.379646509791247,8.708121371608017,16.128825842466732,0.0,0.0,0.0,27.811649778506087,39.74943114156271,55.71716388643548,41.751722601677294,59.322083619965284,84.81343949168789,20.924484263646278,29.56147485769518,42.01945751903961,28.73165321510057,41.383283690489094,59.1216187262784,37.19964326058925,53.34075015301269,75.90796229810714,62.60722046750602,86.33957472369272,119.43581370042727,31.447554587650203,43.51502433741439,59.842285611951695,43.65893232586326,60.87269569726851,84.39953964985345,56.41619911783093,78.13804354493112,107.73827281137022,27.453931238569147,39.151537497320504,55.607967517714506,544.4666606461263,781.420215639591,1085.8108481333547,46.14185094934718,65.0279187420326,93.65934386757631,90.27330300751734,129.76401482581343,185.87388983011974,45.54965838207489,65.13127805749295,93.61775308743688,63.12276986436205,91.14861097614262,128.03924100669107,80.95341998414504,116.54375063110204,164.87882490765128,153.1752025771401,220.8079483896497,307.7489723943292,77.21290605059288,111.32702532585657,156.7192150933773,108.23131037408113,155.53386059418432,217.66271112481692,137.64379007886936,198.2084312767886,278.58591394479487
2024 to 2034,All,SES1,820506.6589811268,822183.5385096552,823764.0130881082,1.2636617095070373,2.4870928148257088,4.649775129517248,0.0,0.0,0.0,8.060598639919395,11.460147412676232,15.982860307378248,11.833766054156186,16.796087417492295,24.05955802267827,5.944219665861618,8.379259002927169,11.87237274553411,8.185612799338731,11.739404296798806,16.68759019307566,10.517111270021324,15.073380983924817,21.43013636625329,17.71117537301403,24.275998390730752,33.52640214756121,8.903402807443289,12.215478958406818,16.867688339415253,12.37291609415887,17.0905968908152,23.70873362844642,15.860803577764466,21.90717654392954,30.071333088983536,7.7883500282695834,11.013283822943068,15.537608131393663,157.79475713631604,227.99747801593583,316.80412513116283,13.121575504527252,18.41577634327301,26.428483916800936,25.604637142252827,36.71130773149677,52.378193748227275,12.878844043399557,18.40855846406682,26.33895330476914,18.06518500607676,25.79297891085658,36.16037395204337,23.02259076159474,32.93085564681915,46.84637606336076,43.498270219025585,62.45564890086867,87.16823507954936,21.885342411451223,31.482047817626743,44.34135178487541,30.78394195531032,43.9616800798477,62.13936590798816,39.02817919117197,56.21383977409247,78.94132029202066
2024 to 2034,All,SES2,838287.1078317694,839681.5878285451,840995.076294737,0.9638981476546982,1.9128495125307448,3.539932899407283,0.0,0.0,0.0,6.146760180618878,8.759765798266136,12.250047922000565,9.170662062667612,12.978531951903562,18.478424790875543,4.590645406694558,6.4623093970893555,9.149719522613983,6.303180962132371,9.054679326473412,12.907112146448254,8.12156151496116,11.64620938407295,16.54394417735189,13.674202089113269,18.80157779774412,25.964360895831135,6.857836844037742,9.472026921243668,13.029044247848491,9.540710969913851,13.251894334373649,18.411856796454252,12.305654969266133,16.994866668567795,23.43103301160747,5.961710475138507,8.482824744221556,12.031926595968404,121.40084414807679,174.17122176340683,242.32002013985706,10.087782351568462,14.183077889593509,20.491580120806116,19.772110098999082,28.356896542084833,40.52538385197891,9.996679646360485,14.227228022739805,20.418809372552968,13.809830354294615,19.926288831877216,27.96166531500685,17.689223953728455,25.483957474687195,36.03887870183498,33.575902347424595,48.287113320694274,67.3891795994637,16.942542488200438,24.34364452261298,34.25786512439408,23.65350416105833,34.021642157497084,47.73234969798798,30.160531885388252,43.38419524529165,61.04285703224652
2024 to 2034,All,SES3,888260.3187747939,889461.5047044575,890592.3359163622,0.8601480149983354,1.7106669182891556,3.1691971287968994,0.0,0.0,0.0,5.402824221327041,7.7643725192688295,10.918817191337798,8.178105234754858,11.67628722573252,16.63850462952101,4.103973812377286,5.819370632325089,8.306380712817907,5.656041654145547,8.146896799747397,11.639770174112787,7.298203002511464,10.50248803441854,14.926573592412979,12.331016032765945,17.01894289803696,23.5736954858487,6.174863712904569,8.576568951660725,11.82092766385302,8.619915458757795,12.002489642177448,16.64610255677566,11.066207887522133,15.404164888935409,21.229202680177934,5.413943350531054,7.7357693744518805,11.003421412594795,106.84453171035277,153.59170397442023,213.56002345883246,9.070027449577129,12.785093576898909,18.408986323768648,17.738507166240307,25.5198208298993,36.592952795429,8.911989493081276,12.817013332617474,18.39072028373993,12.425817689477544,17.922396502945542,25.22929639014263,15.960875239911823,22.931462486900184,32.63918349106713,30.124528384015772,43.46620128092138,60.72965412229224,15.191271031538248,21.893290167272344,30.723111518978115,21.2617734443244,30.51513792460686,43.1092015259582,27.022099057747024,38.928602966120664,54.96035651231336
2024 to 2034,All,SES4,939702.1889542931,940724.1672391212,941685.8730527709,0.7242505510921318,1.4427959567228281,2.672954621450863,0.0,0.0,0.0,4.5048570796872225,6.500000457816871,9.144095619220755,6.950532001255204,9.903062531269692,14.07074171145548,3.466960815016784,4.930272053844223,7.026086748022215,4.772682610468387,6.8922148828532395,9.857066108944915,6.158036682231828,8.896581338231941,12.691613156490897,10.370578146202698,14.485087040582851,20.10698232210695,5.246028175008238,7.294900332203227,10.102745191293154,7.301095880816119,10.21591257291719,14.149762601749831,9.397425948246054,13.11221655648298,18.128366289183067,4.5922824680265295,6.606022294007885,9.40155447127102,87.75489212625924,126.51608670642682,175.10860682936212,7.698949369158595,10.851984368765805,15.71920404495255,15.0104817117594,21.619944828181687,31.009249766230276,7.512299567034122,10.869739963157562,15.599849045870348,10.441642317276676,15.177955903952853,21.42468252117394,13.448750802452484,19.443585521879825,27.505089559885658,25.515785457826695,36.79522535728175,51.37853632731197,12.803822465972033,18.52856018856495,26.123791223640993,17.992146330575977,25.838198062197016,36.502036821771284,22.806371417833795,33.03384286382992,46.470368879064665
2024 to 2034,All,SES5,917319.0455337473,918153.6348285254,918938.7758386168,0.5798546860868976,1.1603625026126538,2.1705314078683724,0.0,0.0,0.0,3.6313482845901306,5.223621712041879,7.379847932691653,5.593950176181632,7.99692680906046,11.359328052196537,2.7837438897429507,3.9906733855460796,5.715474869838711,3.8577271782572047,5.591062059681448,7.96688437884081,4.96124289763569,7.1961685740760775,10.28047932688731,8.38209303729411,11.780824396401176,16.41488099157054,4.222813379797937,5.921631538400602,8.207989546329863,5.859924094717011,8.286744252222757,11.556905422614676,7.568075760059473,10.635438311257742,14.74537456527542,3.700854086880308,5.334550209702165,7.6141143454120845,69.0470869717626,98.98124202138499,138.35998365233408,6.199329587499178,8.750330324718819,12.68096078758613,12.161594028243918,17.516607455100715,25.29176038400105,6.0563215780157265,8.823263421542645,12.660161031982021,8.415809256235562,12.313482262385254,17.456145211132032,10.802447939804392,15.776316336747733,22.375022202433463,20.499749328902052,29.72711955533547,41.97520625825127,10.259425961501277,14.97751537365378,21.24450451724167,14.484794315716096,20.92435767311064,29.71204779687464,18.368066905737116,26.701816711604184,37.66582810655069
2024 to 2034,Female,All,1763027.5306346628,1764779.560518885,1766428.1867167484,1.5218448185054614,2.9685225290485455,5.493624080740336,0.0,0.0,0.0,9.365105065007333,13.351620096143101,18.436278725311837,12.722199952198007,18.12276891708543,25.80457036907353,6.397282630604352,9.072842641470384,12.77350924967205,8.806335171865593,12.71213260749235,17.984176528408046,11.383983909230494,16.307458044171945,23.192300904460218,19.21378863735836,26.318234912697726,36.29186576179629,9.5079759818724,13.15745773730578,18.292474889176916,13.32033441021741,18.48733164036154,25.606508104569023,17.161880508452704,23.768670593496143,32.54058063430715,9.510913305348437,13.474963044484703,19.429456604585944,181.16034071633538,256.3923013053883,355.4334589297667,15.811510008479654,22.280092149140145,31.981935315192683,26.662641445549415,38.37427980321509,54.935910501675416,13.477648249401968,19.28414476655246,27.547043091348243,18.78783372707259,26.925245936625856,38.040684071979626,24.28288174572885,34.45466871911496,48.65148784227874,49.79790724612942,70.99050439029655,100.04600201682149,24.75150060501286,35.84167922123051,49.9690607599928,35.136341198075314,49.97367037744564,69.81611493842334,44.60459988776452,63.91488332631305,89.35268929849708
2024 to 2034,Female,SES1,333668.6701353848,334140.45576471626,334584.6351618971,0.46623246290921366,0.9103096053389885,1.6821037252059439,0.0,0.0,0.0,2.903799904568768,4.125566479965146,5.751349571939631,3.895332322573219,5.549299044637171,7.910240680730306,1.9532704487105421,2.770652841830255,3.916589420187921,2.708515823976021,3.8817686970076983,5.46910635816254,3.477687132588716,4.983992739176266,7.094720373495899,5.825531701942558,7.973278877454074,11.055107856238877,2.8953838733935617,3.9912408992565513,5.585930480829973,4.044299540547255,5.592453944960556,7.799712248764052,5.174733563772988,7.187604948241711,9.846425055149634,2.8627447834161672,4.063783869346842,5.873877899023291,58.127565480410496,83.19288517757604,116.26681542962602,4.832473005683133,6.800183763153372,9.73805039160944,8.193517963544814,11.708141022540577,16.776753787059665,4.108761601632468,5.884117795181194,8.3759775225546,5.748018999387537,8.202907693897895,11.640443667086025,7.413534478287047,10.515512649481172,14.79154197463252,15.269695735548343,21.587035162939245,30.493409738579334,7.574829202301026,10.885871144861117,15.25988467025771,10.64534876369205,15.226447932124891,21.314524385474243,13.62825312224259,19.51789719845197,27.36722833034624
