,,,bau,bau,bau,mass_media_uk,mass_media_uk,mass_media_uk,none,none,none,package_uk,package_uk,package_uk,reform_aus,reform_aus,reform_aus,reform_aus_50,reform_aus_50,reform_aus_50,reform_aus_70,reform_aus_70,reform_aus_70,reform_aus_90,reform_aus_90,reform_aus_90,reform_ausuk,reform_ausuk,reform_ausuk,reform_ausuk_50,reform_ausuk_50,reform_ausuk_50,reform_ausuk_70,reform_ausuk_70,reform_ausuk_70,reform_ausuk_90,reform_ausuk_90,reform_ausuk_90,reform_kcl_10,reform_kcl_10,reform_kcl_10,reform_kcl_all,reform_kcl_all,reform_kcl_all,reform_kcl_nacl,reform_kcl_nacl,reform_kcl_nacl,reform_uk,reform_uk,reform_uk,reform_uk_50,reform_uk_50,reform_uk_50,reform_uk_70,reform_uk_70,reform_uk_70,reform_uk_90,reform_uk_90,reform_uk_90,reform_who,reform_who,reform_who,reform_who_50,reform_who_50,reform_who_50,reform_who_70,reform_who_70,reform_who_70,reform_who_90,reform_who_90,reform_who_90
,,,2.5%,50%,97.5%,2.5%,50%,97.5%,2.5%,50%,97.5%,2.5%,50%,97.5%,2.5%,50%,97.5%,2.5%,50%,97.5%,2.5%,50%,97.5%,2.5%,50%,97.5%,2.5%,50%,97.5%,2.5%,50%,97.5%,2.5%,50%,97.5%,2.5%,50%,97.5%,2.5%,50%,97.5%,2.5%,50%,97.5%,2.5%,50%,97.5%,2.5%,50%,97.5%,2.5%,50%,97.5%,2.5%,50%,97.5%,2.5%,50%,97.5%,2.5%,50%,97.5%,2.5%,50%,97.5%,2.5%,50%,97.5%,2.5%,50%,97.5%
Year,Sex,strata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024 to 2034,All,All,5857129.954697003,5865407.39786529,5873202.315900973,6.255096398626357,12.449772014135599,23.038415925075793,0.0,0.0,0.0,39.16801513187963,55.98163204828202,78.424649642052,59.71479161726479,84.9643257370354,121.34006848295918,29.965990497690743,42.330522838255405,60.24856449115379,41.186760485156626,59.235578874009306,84.61210011273762,53.208764214936586,76.41640715287178,108.68216150714026,90.49608669079355,124.93487368741245,172.94830613513588,45.484835077689596,62.944557274536606,86.54482376162312,63.16493360376024,88.05143644167727,121.9449202554821,81.55140116872123,112.89850781296914,155.80179758317476,40.34096335220177,57.48305127820635,81.60887446819727,761.1019381442694,1093.6801340218744,1523.0428507678068,66.76375532826647,94.18398814234394,135.63342309577288,129.40712765032748,185.91155978601427,265.87474896293935,65.31862974230609,93.29262012773306,134.2018640820463,90.48987294960479,130.5423680156492,183.35289344656155,116.01927517857253,167.0310562499459,236.5718811383679,219.278647390892,316.3300243225527,440.38928135513174,110.75363995619284,159.45505998060167,224.43468923202744,154.8607609381933,222.70853694459902,312.0587891215725,197.19779776769985,283.8223358390909,399.0591214250748
2024 to 2034,All,SES1,1091414.201061658,1093677.8823971013,1095811.5143929003,1.8036899917917306,3.55174150213331,6.641808884722456,0.0,0.0,0.0,11.339435494934103,16.12113059148806,22.47800949903316,16.956080733669225,24.054019730017963,34.42158682836649,8.510537501051047,11.998864175866425,16.99180551554143,11.728545610784936,16.79317166056341,23.895565401217358,15.05740638032705,21.56231111758387,30.65475202052735,25.627648735698575,35.12294919009096,48.40361980877317,12.867738523379451,17.664562074779273,24.3615078412599,17.886085070826294,24.722481681530653,34.31154216848072,22.93990387481719,31.69235776019567,43.50303382515193,11.439020592931987,16.1720779818126,22.797010969355718,220.7922515385051,319.02368784804685,443.4496939241135,19.017092934906426,26.679646792683005,38.26850320732938,36.71827856998105,52.5929826210801,75.03328372624216,18.439546793917234,26.37144874675596,37.71406978774028,25.85645115598926,36.95952134249336,51.80055332536507,33.00205637774168,47.20335356604093,67.10120774982994,62.296086407939704,89.45878570579546,124.74821726697299,31.356507906416414,45.06572480681944,63.483602757895234,44.05233012707115,62.94605666754377,89.06731097078179,55.91751427549083,80.49824086766398,112.96906735835991
2024 to 2034,All,SES2,1114706.2822079184,1116588.5818578154,1118361.6183271112,1.375901245082152,2.730521146008253,5.053617203988063,0.0,0.0,0.0,8.646940482122046,12.322677471179663,17.22303378223824,13.109617610181092,18.57205169199556,26.459826493688134,6.569428079123953,9.248247196228743,13.095580552284714,9.034483191955356,12.959370630139112,18.49563622275014,11.634133315367718,16.670203616728365,23.645036419770292,19.757320490433454,27.206861031806646,37.5637520532068,9.932138203507021,13.697903195028186,18.827186648366542,13.801658154045475,19.17462884563833,26.594267449688974,17.77666735820477,24.59065966993755,33.84491397317648,8.75443089492208,12.458463548284232,17.666061243219005,169.68407131482644,243.72823861940108,338.67804617204143,14.604824275362336,20.539737682406546,29.669034794129157,28.32762407748041,40.647862172039325,57.978373902551326,14.312539808603164,20.384365151670693,29.221455687153256,19.77582407834238,28.543635579571188,40.0808266102933,25.35951464424198,36.51030273028851,51.66270459610253,48.045792929245,69.13661493178432,96.42795493567772,24.265327310010377,34.85122293479419,49.08211491147735,33.86173334587176,48.69914134095764,68.3643686396542,43.15382132365136,62.10903100726527,87.41645357200598
2024 to 2034,All,SES3,1181286.9674055495,1182909.5986895873,1184437.2345378273,1.228672092220077,2.4443992304599282,4.529381186209966,0.0,0.0,0.0,7.615686982328996,10.940511591818929,15.375909268483502,11.69692960110825,16.72305485539448,23.85262912886187,5.881228029594063,8.336835244363725,11.8842602160371,8.098484712704863,11.668944238330482,16.651521344058576,10.45363960349682,15.041800937387048,21.375523707042117,17.835862811663585,24.632866117486238,34.11885710837559,8.9386827682118,12.405108987685086,17.091895450641612,12.458738074216429,17.363691885285554,24.040170401325017,16.001885586755584,22.279635653341053,30.71830812543211,7.960646884283262,11.361523347050488,16.164749584120017,149.36874168302074,215.08104882256674,298.9916473821721,13.132663263446997,18.51961233350861,26.6767810385454,25.405414016477074,36.559131167095245,52.378343434559824,12.786584553573613,18.36568232087612,26.37503188109073,17.793452211922386,25.684040977146744,36.19312725461599,22.843632975946132,32.865369732178266,46.71226227378122,43.14933284426149,62.290147399983766,86.83832952493776,21.77088726467087,31.354183923330666,44.043581093378904,30.45872531255399,43.750464812663616,61.76451247085953,38.713416222771464,55.77761562741131,78.73664826308045
2024 to 2034,All,SES4,1249873.0990922516,1251254.6732715792,1252554.7980087472,1.0341305768927036,2.0602375719969874,3.818728039429713,0.0,0.0,0.0,6.3566446185440775,9.170808747311948,12.899500401919349,9.960134823821003,14.188855912926018,20.152212153184458,4.9697276257020775,7.074111893415154,10.072723678885652,6.835895603339637,9.87812254644376,14.1456289047899,8.82578329049012,12.747945575356841,18.165123703835132,15.042518482077512,20.97735777269596,29.04458937578674,7.605842914052811,10.560303391841053,14.604677490326752,10.577754797450748,14.795213806525648,20.479031438287087,13.627033417615122,18.9791648801229,26.25758024335679,6.751293985213393,9.700969237881065,13.817614192154474,123.23193956438422,177.1176943956056,245.37395975551144,11.151770363129224,15.726203299467802,22.75789323216687,21.5047928157434,31.006345309863867,44.55076503251496,10.776984063828754,15.577333329977098,22.39737955731901,14.989463323660157,21.754105053765713,30.708431462411433,19.25825355729793,27.87389060128206,39.39908584952409,36.52891196307013,52.751990135003204,73.53149345015613,18.382223759788644,26.55233676137251,37.42645238655796,25.78045996052138,37.04351914281101,52.36785007595039,32.69498540691759,47.326062909691814,66.6084177568186
2024 to 2034,All,SES5,1219849.4049296244,1220976.6616492067,1222037.1506343868,0.8287650757796556,1.6588071219754816,3.099231948452234,0.0,0.0,0.0,5.12419384308421,7.370341816075146,10.403240975058713,8.015616523987022,11.46020271673733,16.27008926761225,3.9898541663613885,5.71297099465859,8.203199276134882,5.52969377163202,8.008637633277893,11.408619274562724,7.116645624785033,10.308512517236649,14.725927972948169,12.125554172920214,17.058576862202642,23.751168914384767,6.11170351181604,8.576011675197243,11.879941165658344,8.50128837752064,11.978845679145635,16.723497159326655,10.967259927719292,15.39966615514058,21.35549663821511,5.4431574905327444,7.835456751882672,11.18182729479454,96.66691311078695,138.70029874264816,193.52417443621098,8.981756010003528,12.672896638557852,18.3751070026818,17.454682164350096,25.10879108157736,36.20864122104093,8.689996462921362,12.642887703207732,18.14658634952347,12.067072714200242,17.65020570057756,25.015363311578053,15.514280518109722,22.623727172568916,32.093986749752375,29.33656010038364,42.589709847439764,60.115817369314755,14.725511424933428,21.445108209809185,30.429452859218895,20.76902193421281,29.998126976231276,42.556871400454625,26.353831037592094,38.27247518794525,53.958603173095156
2024 to 2034,Female,All,2344190.1064038225,2346555.759370124,2348781.8448326485,2.1660925539639413,4.234153744521558,7.834794868310462,0.0,0.0,0.0,13.1800434249859,18.794646841368852,25.941979922758538,18.22028151062312,25.93795785224015,36.8881314469093,9.145043778368766,12.97084983481884,18.25092298528748,12.593195535536037,18.182905637498855,25.689280130048182,16.285878625185987,23.33422754117757,33.19183690840306,27.73008531731689,37.98387766739583,52.451312626913385,13.728686812957282,19.018941040673973,26.450081728859747,19.247941266425777,26.70936587651515,37.11932533219859,24.749419407720904,34.327311843450666,47.02769264333699,13.957636295151095,19.787974908258683,28.502602563216072,253.38914933876745,358.38289094719244,496.0099706888494,22.88167487648828,32.234550509873806,46.218335209839,38.14553595841546,54.85518384889877,78.74302531310111,19.278766799155186,27.577980752293648,39.39688030351353,26.882864764327426,38.524262450793145,54.42564805184481,34.72704872205009,49.26783787099469,69.45415614414374,71.24878292528916,101.4782354919638,142.84677119775682,35.356296500677914,51.22621660076928,71.36090801487276,50.297031063466555,71.39024205511438,99.83173055784849,63.80001968984885,91.35755786992203,127.68582794155947
2024 to 2034,Female,SES1,443718.75455014885,444355.59649488155,444955.19236117735,0.6640421326922537,1.2984389282511473,2.397423090280204,0.0,0.0,0.0,4.082619955404282,5.80032617496711,8.091792338016429,5.569720773103431,7.940722756338715,11.30028407112903,2.795283983665508,3.9641119726309775,5.59872669621494,3.8760528810769737,5.552835608409584,7.829019056951877,4.972109743134278,7.131187053554177,10.147922404037544,8.4067594939558,11.509963040906968,15.89695264028008,4.1788082427698345,5.763672326600552,8.072650402783793,5.839075824208235,8.072595814722956,11.25254493131766,7.462801734277966,10.38087639348489,14.204978935701021,4.200243012598286,5.963607695008397,8.622366443292316,81.23573345366013,116.2795424232828,162.45546214949974,6.993982538805804,9.832186192142725,14.084423474825837,11.722139223884033,16.73638088884902,23.987879158992467,5.8768407265121905,8.407742128697635,11.98743187296735,8.224687005234369,11.728345217198074,16.65352294116816,10.600763885114304,15.022553260935961,21.13189073552206,21.816908541740094,30.85762077360559,43.54999568415885,10.830041751197133,15.559873221770765,21.825042057540383,15.204810858887877,21.7596747265237,30.461427638539707,19.50676646199561,27.892786932050882,39.03712628907165
