,,,bau,bau,bau,mass_media_uk,mass_media_uk,mass_media_uk,none,none,none,package_uk,package_uk,package_uk,reform_aus,reform_aus,reform_aus,reform_aus_50,reform_aus_50,reform_aus_50,reform_aus_70,reform_aus_70,reform_aus_70,reform_aus_90,reform_aus_90,reform_aus_90,reform_ausuk,reform_ausuk,reform_ausuk,reform_ausuk_50,reform_ausuk_50,reform_ausuk_50,reform_ausuk_70,reform_ausuk_70,reform_ausuk_70,reform_ausuk_90,reform_ausuk_90,reform_ausuk_90,reform_kcl_10,reform_kcl_10,reform_kcl_10,reform_kcl_all,reform_kcl_all,reform_kcl_all,reform_kcl_nacl,reform_kcl_nacl,reform_kcl_nacl,reform_uk,reform_uk,reform_uk,reform_uk_50,reform_uk_50,reform_uk_50,reform_uk_70,reform_uk_70,reform_uk_70,reform_uk_90,reform_uk_90,reform_uk_90,reform_who,reform_who,reform_who,reform_who_50,reform_who_50,reform_who_50,reform_who_70,reform_who_70,reform_who_70,reform_who_90,reform_who_90,reform_who_90
2024 to 2034,Female,SES2,448125.0627450106,448656.642795756,449156.9455846084,0.4766152584763884,0.933322091895461,1.722522484249791,0.0,0.0,0.0,2.9086166161062152,4.154552840318143,5.731911134111305,4.015056795726496,5.715550592124821,8.118223058239328,2.015408094667241,2.8573169207502005,4.014941177439471,2.775186886552465,4.006656832821847,5.655489636611763,3.586360187996355,5.138713717301011,7.297660868797549,6.1142594079696,8.345388987914742,11.49675729033272,3.0250690323192386,4.17655965427953,5.788292491797235,4.230975747738629,5.861412872703672,8.128021578382635,5.443923455098158,7.542296969263255,10.306015851976806,3.05248257231178,4.328378173556745,6.215492319472377,57.904691486501584,82.42566693145591,113.29300835934191,5.034062031251058,7.0757968013420705,10.123899507779324,8.40054306799765,12.081768592133285,17.32250253281207,4.244650785842762,6.070197709866882,8.666719779979,5.934357406522888,8.477045327830613,11.929483228463457,7.6382043157714845,10.84255767874658,15.255730202237894,15.686557037433767,22.35660922764975,31.39363701043473,7.804317158208742,11.269335606785654,15.720241258055196,11.105876508572276,15.714559826094447,21.98444392374105,14.03607293686867,20.13270710893178,28.073937844373585
2024 to 2034,Female,SES3,472884.32335054985,473348.6588093959,473785.53360489156,0.42610646544397474,0.8293300826234817,1.5381439193361843,0.0,0.0,0.0,2.553734478966778,3.660929601788342,5.094063792819389,3.5481723988263285,5.080952243117631,7.267218005496975,1.7875732101228654,2.543509483623445,3.611780094154756,2.463714675203183,3.5623880080983046,5.071382423465824,3.181056945092625,4.571052702165782,6.525555821103703,5.444809313916961,7.476235836056828,10.345478300061194,2.6923798227634523,3.734961637270272,5.219158492860236,3.7706362600570262,5.249911955517888,7.3254123839052,4.856420366537735,6.7406050710794325,9.273216863536112,2.743066566937506,3.8962787627044917,5.646215219479092,49.53875494303738,70.65087950341271,98.22939654707535,4.476474555576301,6.326995393433869,9.10881793614351,7.471813426488223,10.743959462370336,15.485934314135914,3.7715812850311314,5.41058233257097,7.749821703606623,5.254585758809577,7.554436934772491,10.738757616138011,6.799632920416557,9.674964989149869,13.70485959502045,13.937370265654186,19.95714688820219,28.16975527689751,6.913672808656198,10.047344755044401,14.040699048211781,9.846088887336858,14.021836269340813,19.637308565340923,12.445652000893798,17.928495103634656,25.21286728739605
2024 to 2034,Female,SES4,497894.6620313753,498296.45324948104,498674.3821381935,0.3430842339037448,0.6708528415538668,1.2308519895549612,0.0,0.0,0.0,2.0599647701269235,2.938614587616265,4.087784760991549,2.877414359829262,4.116880227176547,5.864300780648126,1.4522056851848901,2.059710608233869,2.894712990699814,1.9890833946881474,2.883388978390932,4.088454161184846,2.5796599312232997,3.7040185811074973,5.251786954817062,4.400401349104056,6.083005850855351,8.36564745658977,2.1830745883446574,3.0418585995272993,4.223899572281573,3.0589586319889603,4.270011078592181,5.937435662272576,3.960123613410484,5.488727755747199,7.53073648471728,2.246690101814437,3.185302436600506,4.577004869198703,36.555534548111076,53.38884232503021,74.80031352997014,3.639728242505464,5.138180279222786,7.371503959268093,6.049960143014739,8.712247167670846,12.535503051806254,3.044184296479795,4.379534529613435,6.276281338749757,4.248619166088662,6.120211040451824,8.663733424401341,5.487674264949846,7.844374516828239,11.082527515189009,11.27521099928206,16.19655402544832,22.776513882210576,5.606751425218469,8.148095249677002,11.4051637560528,7.974848242119794,11.355580065079034,15.921235693009107,10.06381367167898,14.540885102386058,20.39630311334032
2024 to 2034,Female,SES5,481567.3037267376,481898.4080206095,482209.7911437773,0.2565042904529661,0.5048141979807019,0.9216156154359876,0.0,0.0,0.0,1.540376524768141,2.2076811783279187,3.0586206867054577,2.1774620146567583,3.107874778188765,4.380729543974059,1.0971040003716617,1.5529196969572308,2.173183369933377,1.5002727652974754,2.1700318189721703,3.090382270266015,1.9311697067448022,2.7912932786890865,3.942458776961903,3.3172203144723924,4.602878958511173,6.30330860617984,1.6435003760554132,2.299299472613871,3.173856150280374,2.3104466614404555,3.221397925775051,4.482339040014165,2.985907942098105,4.144040685886264,5.6571908553917165,1.6937000462155343,2.4021571934161785,3.43944835719763,23.12116474655183,36.092123265142384,52.4637872112312,2.7206909500319783,3.8583221745714544,5.5087288980505305,4.602122100381055,6.565184411368609,9.424565947059243,2.302220692417306,3.299008920019627,4.723621167038014,3.210351879920876,4.6195586981176735,6.50727017590225,4.148835265847889,5.929880547907829,8.33404741586985,8.494777676307537,12.213659580359757,17.07219781056641,4.241553916292847,6.144619191269636,8.56251435265306,5.988867130115002,8.569981739933311,12.031232368278168,7.621355380582422,10.978737211286367,15.352847923469609
2024 to 2034,Male,All,3512939.8482931796,3518851.6384951654,3524420.4710683236,4.103159140633393,8.228502832905413,15.44269748457703,0.0,0.0,0.0,25.319625121417143,37.24122157787001,53.099456738434114,40.93246430005841,58.78753955567086,85.27343294205767,20.42977783567759,29.311144112428785,42.68027247243209,28.245316311754117,41.15456999290967,59.40366409613544,36.452928419295,52.90874372334183,76.60198582583091,61.41380743893622,86.92367919057071,121.92241678094783,31.076689977481454,43.71624568671465,60.80495266954408,43.35450933700592,61.41307347056091,85.71644206669427,55.53857623214154,78.70310185445737,109.66331972442967,26.168979419364273,37.6620322521466,54.02075164563331,496.04502834526204,734.8388345964331,1046.077547226196,43.295541578889825,61.98273829381358,91.1592577969404,89.11484502998367,130.74693374813046,189.70914686917442,44.87002250608982,65.91060222605682,95.58056866742736,62.40028937712078,92.08559944774807,131.4860056606697,80.15393856631303,117.49108345046926,168.20437359711212,146.49633330258655,213.85327348335233,306.02940254218953,73.69945647301583,107.85672034231794,154.80470941995097,101.79747461225247,150.59119488247788,216.8341420774219,130.49485614165866,192.16831491494116,276.40273771937086
2024 to 2034,Male,SES1,647695.4465115092,649322.2859022196,650856.3220317229,1.1273663302900314,2.261333389149785,4.22822503694172,0.0,0.0,0.0,7.054401378454447,10.308274915374636,14.758213262154511,11.238913897515681,16.122971538242936,23.191927563561375,5.6164286514303985,8.030519535658717,11.58376242475852,7.7165045010542395,11.254951427136898,16.15883218693458,10.015015477164932,14.468995353808879,20.87215038953129,16.90513220192002,23.577337550296306,32.92217306473737,8.508291529790515,11.866618315953254,16.54184258996993,11.863707173961163,16.65570561171055,23.24658476831506,15.11824094613704,21.312233257939457,29.638748300181213,7.05894036048649,10.159628238942503,14.454925444044033,137.78944613359042,202.80517105688023,288.33957810788183,11.830964549351519,16.843781938851954,24.67024538793454,24.433590954371777,35.776458359484074,51.67965989283239,12.38299713735584,17.9764372099458,25.95855428498337,17.169284309207733,25.19999073471248,35.74299263635122,22.040310374407483,32.10601214817977,46.18088968721323,39.889239009835606,58.45438513427592,82.95213097940982,20.233195890253263,29.539293746222977,42.212325514150905,27.955031359121655,41.060704307150246,58.668958707439565,35.760639270380814,52.42819912065041,75.15752201163907
2024 to 2034,Male,SES2,666581.2194629078,667931.9390620594,669204.6727425025,0.8983603395884573,1.7982670839874744,3.3605191167200865,0.0,0.0,0.0,5.594412250778372,8.184210518930435,11.638038782167481,8.975972416321802,12.815942733719467,18.515698014145197,4.45453466441139,6.394089224900245,9.290410794318179,6.179261668789625,8.96582329207933,12.88017766925568,7.929647387646151,11.51172964095521,16.67425636313061,13.391145670153795,18.840740034553885,26.451909563864568,6.766654923275227,9.480989957399128,13.189105392869308,9.388747804866469,13.31627382320416,18.5828872610539,12.042404472171317,17.043053914738774,23.711589424921893,5.6236647430823625,8.126388494365333,11.663120789648751,109.57044560991928,161.48442665532207,229.43809624135534,9.427447571265983,13.463376592669128,19.814776976648,19.504467920298456,28.497874586828587,41.10312699764188,9.803992622530956,14.353462296949864,20.79090271470103,13.610705105002992,20.07975335944736,28.646398679663477,17.46201799922941,25.59734925245738,36.53552853987919,31.854131869309104,46.56225756916618,66.61134806962886,16.04425641144027,23.528175893316984,33.80525626066007,22.212458063688917,32.809163810502056,47.11658108167544,28.5043007831328,41.8842431837424,60.048858094354685
2024 to 2034,Male,SES3,708402.6440549997,709560.9398801916,710651.7009329358,0.805238751438576,1.617974055261016,3.033936852423326,0.0,0.0,0.0,4.969786077304847,7.286394688032747,10.40558088805505,8.073177230750407,11.59844275028479,16.82620666822697,4.023493148461461,5.777950482657314,8.398240077193915,5.562802756627834,8.09740564454913,11.657773267233521,7.205244494977873,10.438662388061404,15.091535991766142,12.104924879995199,17.176230531112076,24.020195116123077,6.1310439847628055,8.637697006062865,12.02851586805328,8.534111488228678,12.119666021633387,16.93176006574675,10.945611693170948,15.538066338869214,21.6490497432363,5.1723987172231505,7.450890844907045,10.711805935994205,97.35464501860272,144.1948847293718,205.2910846733986,8.542453187311763,12.224859611219525,17.957360125087767,17.54652992226175,25.750666394804835,37.411905153215315,8.81316729656769,12.982457425909638,18.81490877473929,12.28367773754685,18.13238055818522,25.90967503224392,15.79693705502956,23.17026066161251,33.16544364595492,28.81023220599687,42.12342906562782,60.23643794842864,14.482935608949667,21.248345830818536,30.480205386409622,20.137119489297636,29.676352175323487,42.76411733171732,25.646392182865405,37.87051337809527,54.53749148619941
2024 to 2034,Male,SES4,751978.4370608763,752958.2200220982,753880.4158705536,0.6914680224544704,1.397721632826209,2.614100620252078,0.0,0.0,0.0,4.237827660196323,6.234700112065792,8.917104253498941,6.954361386228746,10.00454388776052,14.534426473758796,3.4563943917613806,4.98634044463253,7.286656860590841,4.776702047682887,6.9869196595840455,10.117962405167752,6.195628264051914,9.010244102702618,13.08528476496407,10.452496986346553,14.915041783661247,20.863672302726233,5.309873951941144,7.503116740470648,10.420856554347672,7.3612091366267025,10.517921212475418,14.73889436067061,9.484314985995,13.50779941220355,18.89305103748165,4.518455685475874,6.512392770594239,9.418081072635845,83.21906498785573,123.35498601313842,176.75250518105142,7.391949459488899,10.617072176927806,15.631339283716716,15.061137053860522,22.24391598888659,32.30465133201126,7.594146171360051,11.205924737236142,16.23169218090152,10.562077999174376,15.659936020657302,22.427618096750955,13.580581618601322,20.019609652568462,28.54553929349615,24.813634236440606,36.40521499833059,52.32489551617961,12.473164017672294,18.369641183248284,26.378738654335525,17.341215913467895,25.608674417775276,37.111826901541974,22.170680283102936,32.79052549693382,47.15773252442642
2024 to 2034,Male,SES5,738282.1012028868,739078.2536285969,739827.3594906094,0.5759995263236523,1.1617105959326028,2.1813370203541584,0.0,0.0,0.0,3.5121520837098004,5.166899479814052,7.444208221989398,5.7564403012314855,8.326189967320563,12.113047502624577,2.860497233611649,4.153485269477725,6.125554062854855,3.9531105919283687,5.80882421605742,8.44117555777375,5.122346503300184,7.49367120407617,10.973641447384335,8.612646793408317,12.450177753867624,17.397819998140317,4.383109140785325,6.266562977088332,8.784422271301093,6.072016744289977,8.77172134340179,12.399873748622145,7.838242155210835,11.282553742303968,15.805104743494061,3.7397901799048006,5.429201493531465,7.865775210930954,69.10039422290745,102.33809434825514,147.27273742186892,6.127033265382094,8.82907696080029,13.08843683797144,12.594585878659192,18.530593901232482,26.89596056556657,6.26998729400723,9.33343851534903,13.541448807512442,8.796517817103474,13.019235806768894,18.724012325940596,11.24719361379627,16.711159132703422,23.841047565825473,20.471790333223915,30.299432597081303,43.73149142433638,10.331914347349947,15.301866630652547,21.9881510861391,14.374244154136532,21.285832640548346,30.95483169038018,18.34506514922264,27.26738937444925,39.49428163480211
2024 to 2044,All,All,11609337.280893713,11628906.208497413,11647342.401350027,17.590060931859703,35.56256112845594,64.96734670124658,0.0,0.0,0.0,162.63885586968135,234.26275294448322,330.1399965786727,250.09768528016411,357.60734334632565,508.68606404905097,125.01487389004313,178.93618960513408,254.73600343463895,172.15232770669786,250.23407565801745,356.68227122272083,222.08282779386323,320.9929868153531,459.9744376446341,481.5778278160698,682.5206219617521,963.1825857007725,243.95308580493048,343.27254996862825,482.6024388099767,340.1300313657365,478.6860480242329,678.7067020202128,435.3427626884694,615.5022832499835,870.1771134302894,434.3274637572672,618.7273404733227,875.3811049394785,2493.3301144369843,3646.7553643913325,5101.010794925197,330.5660390989611,469.6637500256815,677.068703420874,547.8463009875387,782.2895114168072,1125.016057180686,274.2829728846173,395.0170203167228,564.2005646260237,382.7290183346847,550.2489987379427,783.8004664694264,492.1157466037269,705.9189798804853,1006.7379085771834,929.2970127915563,1345.2249605830775,1878.7854660813616,466.8585654360344,679.7137807506349,958.809559440599,658.319821858835,947.580918742947,1337.9609359001217,843.2162728489582,1212.0697722182958,1706.2017492354355
2024 to 2044,All,SES1,2187834.739679535,2193200.0983121367,2198260.159449714,5.1077834889261995,10.277402262567282,18.778079668000277,0.0,0.0,0.0,46.61720972004901,67.15799577205175,94.14209312354697,71.22703085858542,101.40971377628807,143.58109577213918,35.26407529647197,50.63425038042289,71.69693341322366,48.85856151832544,70.76980057330323,100.98878425779668,63.283845347735024,90.9083175434875,129.6074181770956,137.14969513177323,192.04470868381816,269.5630131041022,69.28528307281918,96.46056781514912,135.13617858283402,96.51897774519675,134.86042027334065,190.32504016738633,123.46914304560242,173.14272676815142,242.6654478694018,123.0728042465031,174.6049099273389,246.24906207996534,722.8408735493548,1054.1792445397127,1471.8379293498367,94.29149984552488,133.81291933709048,193.8960599538858,155.62647748710503,221.49921116327278,317.63144313309897,77.99834147058645,111.66078999728191,160.15499205272616,108.94841677676956,155.40516917018402,221.74363185386633,139.95448682236045,199.43976093204878,282.67077485382015,263.7633031062997,381.22969241262604,536.5809649217883,132.82734955405778,192.66691976311165,271.3253465366484,187.84417043962063,268.8592084438071,378.5475436674631,238.90509048857643,343.95236580740186,486.0498902301401
2024 to 2044,All,SES2,2212743.834965567,2217187.4535414786,2221375.1012156885,3.85935200942117,7.802363862801672,14.224355471386714,0.0,0.0,0.0,35.406882701346035,51.03791479676282,71.73675148969292,54.44068616373189,77.61282512994552,109.96602855515725,27.280236148842743,38.821060520373045,55.11105733117771,37.33562723153967,54.21412253001553,77.0403484150216,48.38251572144491,69.66548150494552,99.37125326952606,104.61954257556428,147.7534660688686,207.59092557738427,52.77351510947259,74.2190580850265,104.47376502376233,73.65152993858466,103.51917714526331,146.3673428029061,94.17174924921308,132.9590688888082,187.7720978697912,93.47653185989842,133.75272621045124,188.22870625539196,552.1854374363854,802.9663805875109,1117.9124728220513,71.87416898976443,102.18706559797866,147.47924908335654,118.86836988956355,169.9565749387865,242.9880066744095,59.68440299744554,85.57393534813166,122.86129436848918,82.98025856224918,119.23837461625963,170.52749631125343,106.91199097069037,153.06645979664705,217.40607679895055,201.67212261071,292.28227441919694,407.865309244165,101.60945918604112,147.65522319609897,207.78288346231687,143.48820325598294,206.1534435929084,289.27979506690883,183.11110374997097,263.38961302736124,369.80317001686063
2024 to 2044,All,SES3,2340705.2730847145,2344550.9422977353,2348172.9145758376,3.463331866442734,6.994393935542047,12.82984169124949,0.0,0.0,0.0,32.303424735214946,46.39511387329978,65.27781706758353,49.271927800661054,70.89521904697621,101.37854453684507,24.73827660536295,35.49178816688019,50.5548213960719,34.16324242728237,49.58985670461357,70.88591570665983,44.00256084887074,63.67406364524144,91.5264589896926,95.59919132044631,135.93420055229961,191.75548895934008,48.38398606670605,68.33611492100144,95.69128679750655,67.3998281748181,95.067600706186,135.24649247160613,86.5318695801581,122.55769321777862,173.00699466016,86.78839612621954,123.29102986953728,174.62264009633276,493.73644410841086,722.786159193582,1013.0432548346636,65.37840981778471,93.20097223244636,134.28923647586856,108.12105306510648,155.33598141015142,223.8727371748897,54.285536878547205,78.44035916494876,111.98485785163508,75.92616416622099,109.20399209617301,155.03121674959218,97.61591817596825,139.97281247931988,199.05546010305324,184.30099435207603,267.07403990302544,371.84045373388295,92.32618272892348,134.79362069761532,190.25658271055562,130.41007106129183,188.007184910402,265.68976714884667,167.60616615381198,240.79085358040933,339.9692030393938
