Raw Median,Discount,Scenario,2024 to 2034,2024 to 2034,2024 to 2034,2024 to 2034,2024 to 2044,2024 to 2044,2024 to 2044,2024 to 2044,2034 to 2044,2034 to 2044,2034 to 2044,2034 to 2044,All,All,All,All
False,3%,UK 50%,0 to 40,All,All,11.3 (4.11 to 21.7),0 to 40,All,All,31.8 (12.3 to 60.6),0 to 40,All,All,20.5 (8.36 to 39.2),0 to 40,All,All,54.8 (22.2 to 104)
False,3%,UK 70%,0 to 40,All,All,15.6 (6.02 to 30.4),0 to 40,All,All,44.0 (17.2 to 83.4),0 to 40,All,All,28.5 (11.4 to 53.3),0 to 40,All,All,75.8 (30.2 to 142)
False,3%,UK 90%,0 to 40,All,All,20.2 (7.47 to 38.7),0 to 40,All,All,57.1 (22.5 to 107),0 to 40,All,All,36.9 (14.5 to 68.4),0 to 40,All,All,98.0 (39.0 to 182)
False,3%,UK mandatory,0 to 40,All,All,22.4 (8.41 to 43.1),0 to 40,All,All,63.3 (25.0 to 120),0 to 40,All,All,40.9 (16.2 to 77.0),0 to 40,All,All,109 (43.2 to 205)
False,3%,UK mass media campaign,0 to 40,All,All,1.81 (0.608 to 4.35),0 to 40,All,All,3.45 (1.17 to 8.06),0 to 40,All,All,1.63 (0.553 to 3.76),0 to 40,All,All,3.49 (1.19 to 8.13)
False,3%,UK salt reduction program,0 to 40,All,All,8.14 (3.25 to 16.0),0 to 40,All,All,22.3 (9.05 to 43.4),0 to 40,All,All,14.3 (5.74 to 27.7),0 to 40,All,All,39.5 (15.9 to 76.5)
False,3%,Who mandatory,0 to 40,All,All,44.1 (17.3 to 86.9),0 to 40,All,All,124 (49.9 to 238),0 to 40,All,All,79.8 (32.5 to 151),0 to 40,All,All,213 (86.5 to 404)
True,0%,Aus then UK 50%,0 to 40,All,All,10.165627567919728,0 to 40,All,All,41.90013238991378,0 to 40,All,All,31.72000205944641,0 to 40,All,All,95.6122285811748
True,0%,Aus then UK 70%,0 to 40,All,All,14.18755458306805,0 to 40,All,All,58.39146037687533,0 to 40,All,All,44.43268838127187,0 to 40,All,All,133.73823753140368
True,0%,Aus then UK 90%,0 to 40,All,All,18.293975385657177,0 to 40,All,All,75.22970204079502,0 to 40,All,All,56.78061608739699,0 to 40,All,All,171.53209168314288
True,0%,Aus then UK mandatory,0 to 40,All,All,20.189241415582725,0 to 40,All,All,83.16991890077588,0 to 40,All,All,63.03653535589911,0 to 40,All,All,190.5656711230364
True,0%,Australia 50%,0 to 40,All,All,7.554597073552941,0 to 40,All,All,25.13382333458321,0 to 40,All,All,17.562804579249132,0 to 40,All,All,54.00064022894469
True,0%,Australia 70%,0 to 40,All,All,10.550215750856296,0 to 40,All,All,35.109361689104844,0 to 40,All,All,24.48562478186068,0 to 40,All,All,75.2840673318509
True,0%,Australia 90%,0 to 40,All,All,13.598419204103266,0 to 40,All,All,45.045020833022136,0 to 40,All,All,31.428889171178525,0 to 40,All,All,96.57216019652152
True,0%,Australia mandatory,0 to 40,All,All,15.137958816567334,0 to 40,All,All,49.943158256801325,0 to 40,All,All,34.83339484120734,0 to 40,All,All,107.01140615945678
True,0%,BAU,0 to 40,All,All,92427197.19427772,0 to 40,All,All,153934472.08609247,0 to 40,All,All,61506277.3921638,0 to 40,All,All,254937712.26529723
True,0%,KCl subsitute (10%) all foods,0 to 40,All,All,10.455225923120452,0 to 40,All,All,91.1159455542147,0 to 40,All,All,80.63273950707298,0 to 40,All,All,265.0652705457063
True,0%,KCl subsitute (30%) envelope,0 to 40,All,All,207.13650434440208,0 to 40,All,All,513.3760592198432,0 to 40,All,All,305.7301822114714,0 to 40,All,All,1005.2390431546188
True,0%,KCl subsitute (4.5%) discretionary,0 to 40,All,All,17.627283761961735,0 to 40,All,All,67.59791838449564,0 to 40,All,All,49.859208958381714,0 to 40,All,All,150.45533656937607
True,0%,No change,0 to 40,All,All,0.0,0 to 40,All,All,0.0,0 to 40,All,All,0.0,0 to 40,All,All,0.0
True,0%,UK 50%,0 to 40,All,All,14.251815040894144,0 to 40,All,All,47.14344934625296,0 to 40,All,All,32.83364810414423,0 to 40,All,All,100.96583662023124
True,0%,UK 70%,0 to 40,All,All,19.77913520440052,0 to 40,All,All,65.24123795876949,0 to 40,All,All,45.53616880541085,0 to 40,All,All,139.870784000487
True,0%,UK 90%,0 to 40,All,All,25.47711076915766,0 to 40,All,All,84.53218914844547,0 to 40,All,All,58.99662075718879,0 to 40,All,All,181.3377267195102
True,0%,UK mandatory,0 to 40,All,All,28.370291883424212,0 to 40,All,All,93.7282493013663,0 to 40,All,All,65.57275524185388,0 to 40,All,All,201.4890324182303
True,0%,UK mass media campaign,0 to 40,All,All,2.2748633103983598,0 to 40,All,All,4.7698002442703,0 to 40,All,All,2.484214753001652,0 to 40,All,All,4.862414666577024
True,0%,UK salt reduction program,0 to 40,All,All,10.074559871889504,0 to 40,All,All,32.88049701766795,0 to 40,All,All,22.873842904411504,0 to 40,All,All,72.19808169138139
True,0%,Who mandatory,0 to 40,All,All,55.759560587643136,0 to 40,All,All,183.36526197220883,0 to 40,All,All,127.67123664002428,0 to 40,All,All,392.4558254675373
True,3%,Aus then UK 50%,0 to 40,All,All,7.994773026398149,0 to 40,All,All,27.67990572242386,0 to 40,All,All,19.769713755701403,0 to 40,All,All,50.668977019511196
True,3%,Aus then UK 70%,0 to 40,All,All,11.135687054312633,0 to 40,All,All,38.69237928786277,0 to 40,All,All,27.673709997028855,0 to 40,All,All,70.95039511371887
True,3%,Aus then UK 90%,0 to 40,All,All,14.329266764087741,0 to 40,All,All,49.84642183202457,0 to 40,All,All,35.36647876352698,0 to 40,All,All,90.62248702270143
True,3%,Aus then UK mandatory,0 to 40,All,All,15.829187137632793,0 to 40,All,All,55.028949472474416,0 to 40,All,All,39.21497824518063,0 to 40,All,All,100.71048785573039
True,3%,Australia 50%,0 to 40,All,All,5.968215200615517,0 to 40,All,All,16.964575887799047,0 to 40,All,All,10.979587491178755,0 to 40,All,All,29.2604535229471
True,3%,Australia 70%,0 to 40,All,All,8.351550875746748,0 to 40,All,All,23.67986723957445,0 to 40,All,All,15.299900847153767,0 to 40,All,All,40.80817843572965
True,3%,Australia 90%,0 to 40,All,All,10.750737581728165,0 to 40,All,All,30.409001612557674,0 to 40,All,All,19.635085372025564,0 to 40,All,All,52.4027780030392
True,3%,Australia mandatory,0 to 40,All,All,11.960502574396688,0 to 40,All,All,33.747575715083,0 to 40,All,All,21.756615382092065,0 to 40,All,All,57.985338740080714
True,3%,BAU,0 to 40,All,All,79192824.90254542,0 to 40,All,All,118130908.96407124,0 to 40,All,All,38937344.08482848,0 to 40,All,All,198876316.26889035
True,3%,KCl subsitute (10%) all foods,0 to 40,All,All,8.053389161774863,0 to 40,All,All,57.47522635867813,0 to 40,All,All,49.39270327721815,0 to 40,All,All,131.82993850151996
True,3%,KCl subsitute (30%) envelope,0 to 40,All,All,168.333994699046,0 to 40,All,All,360.24387684297693,0 to 40,All,All,191.41001982664324,0 to 40,All,All,570.6395855595603
True,3%,KCl subsitute (4.5%) discretionary,0 to 40,All,All,13.783011716822186,0 to 40,All,All,44.974768557853416,0 to 40,All,All,31.14257619609931,0 to 40,All,All,80.15979594810483
True,3%,No change,0 to 40,All,All,0.0,0 to 40,All,All,0.0,0 to 40,All,All,0.0,0 to 40,All,All,0.0
True,3%,UK 50%,0 to 40,All,All,11.281094556524632,0 to 40,All,All,31.827551377889318,0 to 40,All,All,20.53295175946563,0 to 40,All,All,54.777287095403985
True,3%,UK 70%,0 to 40,All,All,15.638681768116024,0 to 40,All,All,44.038344513195035,0 to 40,All,All,28.460945893941084,0 to 40,All,All,75.79660462934612
True,3%,UK 90%,0 to 40,All,All,20.15069044029555,0 to 40,All,All,57.098489340074515,0 to 40,All,All,36.85973241881783,0 to 40,All,All,98.02800289695143
True,3%,UK mandatory,0 to 40,All,All,22.41616296491714,0 to 40,All,All,63.29504738915626,0 to 40,All,All,40.949744153891494,0 to 40,All,All,108.84039866651453
True,3%,UK mass media campaign,0 to 40,All,All,1.8079658547853565,0 to 40,All,All,3.4463600744763654,0 to 40,All,All,1.6333164179009232,0 to 40,All,All,3.493901637769978
True,3%,UK salt reduction program,0 to 40,All,All,8.14262438540756,0 to 40,All,All,22.338954116795474,0 to 40,All,All,14.271484734545869,0 to 40,All,All,39.50188157149083
True,3%,Who mandatory,0 to 40,All,All,44.10832102289669,0 to 40,All,All,124.00006305095226,0 to 40,All,All,79.83228438724954,0 to 40,All,All,212.93059793763888
