Raw Median,Discount,Scenario,2024 to 2034,2024 to 2034,2024 to 2034,2024 to 2034,2024 to 2044,2024 to 2044,2024 to 2044,2024 to 2044,2034 to 2044,2034 to 2044,2034 to 2044,2034 to 2044,All,All,All,All
False,0%,Aus then UK 50%,0 to 40,All,All,10.2 (3.88 to 19.3),0 to 40,All,All,41.9 (16.4 to 77.6),0 to 40,All,All,31.7 (12.6 to 59.1),0 to 40,All,All,95.6 (38.3 to 178)
False,0%,Aus then UK 70%,0 to 40,All,All,14.2 (5.33 to 26.6),0 to 40,All,All,58.4 (22.7 to 110),0 to 40,All,All,44.4 (17.5 to 83.8),0 to 40,All,All,134 (53.4 to 252)
False,0%,Aus then UK 90%,0 to 40,All,All,18.3 (7.31 to 34.2),0 to 40,All,All,75.2 (29.8 to 140),0 to 40,All,All,56.8 (23.0 to 106),0 to 40,All,All,172 (70.1 to 321)
False,0%,Aus then UK mandatory,0 to 40,All,All,20.2 (7.82 to 38.3),0 to 40,All,All,83.2 (33.8 to 154),0 to 40,All,All,63.0 (25.8 to 117),0 to 40,All,All,191 (78.4 to 352)
False,0%,Australia 50%,0 to 40,All,All,7.55 (2.96 to 14.8),0 to 40,All,All,25.1 (10.0 to 48.3),0 to 40,All,All,17.6 (7.13 to 33.3),0 to 40,All,All,54.0 (22.0 to 102)
False,0%,Australia 70%,0 to 40,All,All,10.6 (4.07 to 20.9),0 to 40,All,All,35.1 (14.0 to 67.4),0 to 40,All,All,24.5 (10.0 to 47.1),0 to 40,All,All,75.3 (31.0 to 144)
False,0%,Australia 90%,0 to 40,All,All,13.6 (5.26 to 26.8),0 to 40,All,All,45.0 (17.8 to 86.3),0 to 40,All,All,31.4 (12.4 to 60.0),0 to 40,All,All,96.6 (38.2 to 184)
False,0%,Australia mandatory,0 to 40,All,All,15.1 (5.85 to 29.3),0 to 40,All,All,49.9 (19.8 to 95.3),0 to 40,All,All,34.8 (13.9 to 66.2),0 to 40,All,All,107 (43.0 to 203)
False,0%,BAU,0 to 40,All,All,"92,400,000 (90,300,000 to 94,400,000)",0 to 40,All,All,"154,000,000 (150,000,000 to 157,000,000)",0 to 40,All,All,"61,500,000 (59,800,000 to 63,100,000)",0 to 40,All,All,"255,000,000 (249,000,000 to 261,000,000)"
False,0%,KCl subsitute (10%) all foods,0 to 40,All,All,10.5 (3.93 to 21.0),0 to 40,All,All,91.1 (35.4 to 177),0 to 40,All,All,80.6 (31.4 to 157),0 to 40,All,All,265 (107 to 506)
False,0%,KCl subsitute (30%) envelope,0 to 40,All,All,207 (82.4 to 408),0 to 40,All,All,513 (211 to 999),0 to 40,All,All,306 (127 to 595),0 to 40,All,All,"1,010 (417 to 1,950)"
False,0%,KCl subsitute (4.5%) discretionary,0 to 40,All,All,17.6 (6.47 to 35.7),0 to 40,All,All,67.6 (26.9 to 132),0 to 40,All,All,49.9 (20.2 to 97.1),0 to 40,All,All,150 (60.5 to 291)
False,0%,No change,0 to 40,All,All,0.00 (0.00 to 0.00),0 to 40,All,All,0.00 (0.00 to 0.00),0 to 40,All,All,0.00 (0.00 to 0.00),0 to 40,All,All,0.00 (0.00 to 0.00)
False,0%,UK 50%,0 to 40,All,All,14.3 (5.22 to 27.4),0 to 40,All,All,47.1 (18.5 to 89.7),0 to 40,All,All,32.8 (13.4 to 62.7),0 to 40,All,All,101 (41.1 to 192)
False,0%,UK 70%,0 to 40,All,All,19.8 (7.61 to 38.3),0 to 40,All,All,65.2 (25.5 to 123),0 to 40,All,All,45.5 (18.2 to 85.3),0 to 40,All,All,140 (56.3 to 262)
False,0%,UK 90%,0 to 40,All,All,25.5 (9.50 to 48.8),0 to 40,All,All,84.5 (33.3 to 158),0 to 40,All,All,59.0 (23.2 to 109),0 to 40,All,All,181 (71.8 to 336)
False,0%,UK mandatory,0 to 40,All,All,28.4 (10.6 to 54.4),0 to 40,All,All,93.7 (37.2 to 178),0 to 40,All,All,65.6 (26.0 to 123),0 to 40,All,All,201 (80.5 to 377)
False,0%,UK mass media campaign,0 to 40,All,All,2.27 (0.765 to 5.47),0 to 40,All,All,4.77 (1.62 to 11.1),0 to 40,All,All,2.48 (0.852 to 5.68),0 to 40,All,All,4.86 (1.64 to 11.2)
False,0%,UK salt reduction program,0 to 40,All,All,10.1 (4.03 to 19.8),0 to 40,All,All,32.9 (13.3 to 63.6),0 to 40,All,All,22.9 (9.21 to 44.3),0 to 40,All,All,72.2 (29.3 to 139)
False,0%,Who mandatory,0 to 40,All,All,55.8 (21.9 to 110),0 to 40,All,All,183 (73.8 to 351),0 to 40,All,All,128 (52.1 to 242),0 to 40,All,All,392 (160 to 741)
False,3%,Aus then UK 50%,0 to 40,All,All,7.99 (3.04 to 15.2),0 to 40,All,All,27.7 (10.7 to 51.5),0 to 40,All,All,19.8 (7.82 to 36.8),0 to 40,All,All,50.7 (20.3 to 94.4)
False,3%,Aus then UK 70%,0 to 40,All,All,11.1 (4.17 to 20.9),0 to 40,All,All,38.7 (15.1 to 72.9),0 to 40,All,All,27.7 (10.9 to 52.2),0 to 40,All,All,71.0 (28.2 to 132)
False,3%,Aus then UK 90%,0 to 40,All,All,14.3 (5.73 to 26.9),0 to 40,All,All,49.8 (19.8 to 92.8),0 to 40,All,All,35.4 (14.2 to 66.3),0 to 40,All,All,90.6 (36.9 to 169)
False,3%,Aus then UK mandatory,0 to 40,All,All,15.8 (6.14 to 30.1),0 to 40,All,All,55.0 (22.5 to 102),0 to 40,All,All,39.2 (16.0 to 73.2),0 to 40,All,All,101 (41.3 to 186)
False,3%,Australia 50%,0 to 40,All,All,5.97 (2.34 to 11.7),0 to 40,All,All,17.0 (6.80 to 32.5),0 to 40,All,All,11.0 (4.45 to 20.8),0 to 40,All,All,29.3 (11.9 to 55.7)
False,3%,Australia 70%,0 to 40,All,All,8.35 (3.22 to 16.5),0 to 40,All,All,23.7 (9.44 to 45.5),0 to 40,All,All,15.3 (6.25 to 29.4),0 to 40,All,All,40.8 (16.7 to 77.7)
False,3%,Australia 90%,0 to 40,All,All,10.8 (4.15 to 21.2),0 to 40,All,All,30.4 (12.0 to 58.4),0 to 40,All,All,19.6 (7.76 to 37.5),0 to 40,All,All,52.4 (20.8 to 101)
False,3%,Australia mandatory,0 to 40,All,All,12.0 (4.59 to 23.2),0 to 40,All,All,33.7 (13.3 to 64.3),0 to 40,All,All,21.8 (8.69 to 41.4),0 to 40,All,All,58.0 (23.0 to 110)
False,3%,BAU,0 to 40,All,All,"79,200,000 (77,400,000 to 80,900,000)",0 to 40,All,All,"118,000,000 (115,000,000 to 121,000,000)",0 to 40,All,All,"38,900,000 (37,900,000 to 39,900,000)",0 to 40,All,All,"199,000,000 (194,000,000 to 203,000,000)"
False,3%,KCl subsitute (10%) all foods,0 to 40,All,All,8.05 (3.03 to 16.2),0 to 40,All,All,57.5 (22.3 to 112),0 to 40,All,All,49.4 (19.2 to 96.0),0 to 40,All,All,132 (52.2 to 252)
False,3%,KCl subsitute (30%) envelope,0 to 40,All,All,168 (66.7 to 332),0 to 40,All,All,360 (148 to 701),0 to 40,All,All,191 (79.5 to 373),0 to 40,All,All,"571 (233 to 1,100)"
False,3%,KCl subsitute (4.5%) discretionary,0 to 40,All,All,13.8 (5.06 to 27.9),0 to 40,All,All,45.0 (17.8 to 88.4),0 to 40,All,All,31.1 (12.6 to 60.6),0 to 40,All,All,80.2 (32.4 to 156)
False,3%,No change,0 to 40,All,All,0.00 (0.00 to 0.00),0 to 40,All,All,0.00 (0.00 to 0.00),0 to 40,All,All,0.00 (0.00 to 0.00),0 to 40,All,All,0.00 (0.00 to 0.00)
